Level 0 URI,Level 0 preferred term,Level 1 URI,Level 1 preferred term,Level 2 URI,Level 2 preferred term,Level 3 URI,Level 3 preferred term,Description,Scope note,Level 0 code,Level 1 code,Level 2 code,Level 3 code
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.6,"promoten, verkopen en inkopen",,,"Using communication strategies or techniques to encourage acceptance of goods, services, or ideas, and to sell or buy and goods or services.","Excludes:
- Trading and other skills involving buying and selling",S,S1,S1.6
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.6,"promoten, verkopen en inkopen",http://data.europa.eu/esco/skill/S1.6.0,"promoten, verkopen en inkopen","Using communication strategies or techniques to encourage acceptance of goods, services, or ideas, and to sell or buy and goods or services.","Excludes:
- Trading and other skills involving buying and selling",S,S1,S1.6,S1.6.0
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.6,"promoten, verkopen en inkopen",http://data.europa.eu/esco/skill/S1.6.1,verkopen van producten en diensten,"Taking orders for and selling goods or services to individuals, households or enterprises.","Excludes:
- Performing financial transactions

Examples:
- Sell office equipment
- Take room service orders
- Deliver a sales pitch
- Upsell products",S,S1,S1.6,S1.6.1
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.6,"promoten, verkopen en inkopen",http://data.europa.eu/esco/skill/S1.6.2,"promoten van producten, diensten en programma's","Promoting, advertising and marketing goods, services, programs or policies.","Examples:
- Perform public relations
- Advertise new book releases
- Conduct mobile marketing
- Offer free samples
- Promote education programmes",S,S1,S1.6,S1.6.2
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.6,"promoten, verkopen en inkopen",http://data.europa.eu/esco/skill/S1.6.3,kopen van goederen en diensten,"Buying and ordering goods, services and supplies.","Excludes:
- Performing financial transactions

Examples:
- Buy advertising space
- Order construction supplies
- Procure electrical machinery
- Purchase fruits and vegetables",S,S1,S1.6,S1.6.3
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.7,verkrijgen van mondelinge informatie,,,Asking questions and listening to others to obtain information.,,S,S1,S1.7
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.7,verkrijgen van mondelinge informatie,http://data.europa.eu/esco/skill/S1.7.0,verkrijgen van mondelinge informatie,Asking questions and listening to others to obtain information.,,S,S1,S1.7,S1.7.0
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.7,verkrijgen van mondelinge informatie,http://data.europa.eu/esco/skill/S1.7.1,interviewen,"Interacting verbally in a formal way, usually using structured questioning, to collect information, determine opinions, or determine suitability of individuals for jobs, roles or tasks.","Examples:
- Adhere to questionnaires
- Interview insurance claimants
- Interrogate individuals",S,S1,S1.7,S1.7.1
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.7,verkrijgen van mondelinge informatie,http://data.europa.eu/esco/skill/S1.7.2,overleggen met anderen om behoeften in kaart te brengen,"Engaging in discussions in order to identify expectations, requirements, desires, needs and problems of clients, co-workers, students and others.","Examples:
- Identify customer objectives
- Interact with users to gather requirements",S,S1,S1.7,S1.7.2
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.7,verkrijgen van mondelinge informatie,http://data.europa.eu/esco/skill/S1.7.3,luisteren en vragen stellen,"Listen carefully to what other people say, patiently understanding points being made, formulating and asking appropriate questions, without interrupting at inappropriate times.","Examples:
- Use questioning techniques
- Listen actively",S,S1,S1.7,S1.7.3
